DTXSID,ss_cas,ss_chemname,total_enrich_feat,SS_score,uc_chemname,uc_cas,bc_DTXSID,bc_chemname,bc_cas,sr_cor,sr_pval,PS_score,prioritization_score
DTXSID7052529,7786-61-0,2-Methoxy-4-vinylphenol,4,1,2-Methoxy-4-vinylphenol,7786-61-0,DTXSID7022413,Isoeugenol,97-54-1,0.8321678321678323,0.0014408725736803438,0.867816091954023,1.867816091954023
DTXSID5021625,5359-04-6,p-Isopropenylacetophenone,3,0.75,p-Isopropenylacetophenone,5359-04-6,DTXSID7022413,Isoeugenol,97-54-1,0.9440559440559443,0,0.959770114942529,1.709770114942529
DTXSID40110056,621-82-9,Cinnamic acid,3,0.75,Cinnamic acid,621-82-9,DTXSID7022413,Isoeugenol,97-54-1,0.7692307692307694,0.0052529205777348,0.8160919540229885,1.5660919540229885
DTXSID7047647,122-69-0,3-Phenyl-2-propen-1-yl 3-phenylacrylate,3,0.75,3-Phenyl-2-propen-1-yl 3-phenylacrylate,122-69-0,DTXSID7022413,Isoeugenol,97-54-1,0.7552447552447553,0.006596543220806151,0.8045977011494253,1.5545977011494254
DTXSID4025587,101-39-3,2-Methylcinnamic aldehyde,3,0.75,2-Methylcinnamic aldehyde,101-39-3,DTXSID7022413,Isoeugenol,97-54-1,0.7482517482517483,0.007353207261928149,0.7988505747126436,1.5488505747126435
DTXSID201016569,87345-53-7,"3,5-Dimethoxy-4-hydroxycinnamaldehyde",3,0.75,"3,5-Dimethoxy-4-hydroxycinnamaldehyde",87345-53-7,DTXSID7022413,Isoeugenol,97-54-1,0.7342657342657344,0.00905209711737095,0.7873563218390804,1.5373563218390804
DTXSID3052143,507-70-0,dl-Borneol,2,0.5,dl-Borneol,507-70-0,DTXSID7022413,Isoeugenol,97-54-1,0.9790209790209791,0,0.9885057471264368,1.4885057471264367
DTXSID40905045,17699-16-0,(+)-trans-4-Thujanol,2,0.5,(+)-trans-4-Thujanol,17699-16-0,DTXSID7022413,Isoeugenol,97-54-1,0.9790209790209791,0,0.9885057471264368,1.4885057471264367
DTXSID9021841,100-61-8,N-Methylaniline,4,1,N-Methylaniline,100-61-8,DTXSID7022413,Isoeugenol,97-54-1,0.3636363636363637,0.24625522801216132,0.4827586206896552,1.4827586206896552
DTXSID9027520,3089-11-0,Hexa(methoxymethyl)melamine,3,0.75,Hexa(methoxymethyl)melamine,3089-11-0,DTXSID7022413,Isoeugenol,97-54-1,0.6153846153846154,0.037334511366369796,0.689655172413793,1.4396551724137931
DTXSID4024721,464-49-3,D-Camphor,2,0.5,D-Camphor,464-49-3,DTXSID3020964,Nitrobenzene,98-95-3,0.8321678321678323,0.0014408725736803438,0.867816091954023,1.367816091954023
DTXSID2060599,611-15-4,o-Vinyltoluene,4,1,o-Vinyltoluene,611-15-4,DTXSID2021026,N-Nitrosodibutylamine,924-16-3,0.19580419580419584,0.5428735206298202,0.3448275862068966,1.3448275862068966
DTXSID6038794,1605-18-1,"1,4-Bis(1-methylethenyl)benzene",3,0.75,"1,4-Bis(1-methylethenyl)benzene",1605-18-1,DTXSID7022413,Isoeugenol,97-54-1,0.49650349650349657,0.10409283287352607,0.5919540229885059,1.3419540229885059
DTXSID7027546,3748-13-8,"1,3-Diisopropenylbenzene",3,0.75,"1,3-Diisopropenylbenzene",3748-13-8,DTXSID7022413,Isoeugenol,97-54-1,0.4755244755244756,0.12131935644669292,0.5747126436781609,1.3247126436781609
DTXSID40862523,1073-11-6,"2(3H)-Furanone, 5-ethenyldihydro-5-methyl-",2,0.5,"2(3H)-Furanone, 5-ethenyldihydro-5-methyl-",1073-11-6,DTXSID3020964,Nitrobenzene,98-95-3,0.7412587412587414,0.008170639815899201,0.7931034482758622,1.293103448275862
DTXSID90858714,508-32-7,"1,7,7-Trimethyltricyclo[2.2.1.02,6]heptane",2,0.5,"1,7,7-Trimethyltricyclo[2.2.1.02,6]heptane",508-32-7,DTXSID2021026,N-Nitrosodibutylamine,924-16-3,0.7132867132867134,0.012114394881595453,0.7701149425287358,1.270114942528736
DTXSID50864593,15469-77-9,Dec-3-enoic acid,1,0.25,Dec-3-enoic acid,15469-77-9,DTXSID7022413,Isoeugenol,97-54-1,0.9930069930069931,0,1,1.25
DTXSID9020241,404-86-4,Capsaicin,1,0.25,Capsaicin,404-86-4,DTXSID7022413,Isoeugenol,97-54-1,0.9860139860139862,0,0.9942528735632185,1.2442528735632186
DTXSID4044799,13491-79-7,2-tert-Butylcyclohexanol,1,0.25,2-tert-Butylcyclohexanol,13491-79-7,DTXSID7022413,Isoeugenol,97-54-1,0.9510489510489512,0,0.9655172413793104,1.2155172413793105
DTXSID60859773,6004-38-2,"4,7-Methano-1H-indene, octahydro-",2,0.5,"4,7-Methano-1H-indene, octahydro-",6004-38-2,DTXSID2021026,N-Nitrosodibutylamine,924-16-3,0.6433566433566434,0.02795455282181709,0.7126436781609197,1.2126436781609198
DTXSID00885233,23283-97-8,"Cyclohexanol, 5-methyl-2-(1-methylethyl)-, (1S,2R,5R)-",1,0.25,"Cyclohexanol, 5-methyl-2-(1-methylethyl)-, (1S,2R,5R)-",23283-97-8,DTXSID7022413,Isoeugenol,97-54-1,0.9300699300699302,0,0.9482758620689655,1.1982758620689655
DTXSID00274047,54774-91-3,6-Methylheptyl acrylate,2,0.5,6-Methylheptyl acrylate,54774-91-3,DTXSID7022413,Isoeugenol,97-54-1,0.6153846153846154,0.037334511366369796,0.689655172413793,1.1896551724137931
DTXSID0061111,768-49-0,(2-Methyl-1-propenyl)benzene,3,0.75,(2-Methyl-1-propenyl)benzene,768-49-0,DTXSID7022413,Isoeugenol,97-54-1,0.2657342657342658,0.40397665927502957,0.40229885057471265,1.1522988505747127
DTXSID3062366,2387-23-7,"1,3-Dicyclohexylurea",1,0.25,"1,3-Dicyclohexylurea",2387-23-7,DTXSID7022413,Isoeugenol,97-54-1,0.8741258741258742,3.088607930535857e-4,0.9022988505747126,1.1522988505747125
DTXSID0020153,100-44-7,Benzyl chloride,2,0.5,Benzyl chloride,100-44-7,DTXSID3020964,Nitrobenzene,98-95-3,0.5664335664335665,0.059034148215904074,0.6494252873563218,1.1494252873563218
DTXSID3044754,142-19-8,Prop-2-en-1-yl heptanoate,2,0.5,Prop-2-en-1-yl heptanoate,142-19-8,DTXSID7022413,Isoeugenol,97-54-1,0.5384615384615385,0.0749022866724823,0.6264367816091954,1.1264367816091954
DTXSID60881211,515-13-9,"cyclohexane, 1-ethenyl-1-methyl-2,4-bis(1-methylethenyl)-, [1s-(1alpha,2beta,4beta)]-",3,0.75,"cyclohexane, 1-ethenyl-1-methyl-2,4-bis(1-methylethenyl)-, [1s-(1alpha,2beta,4beta)]-",515-13-9,DTXSID7022413,Isoeugenol,97-54-1,0.2307692307692308,0.47090569352639616,0.3735632183908046,1.1235632183908046
DTXSID60881216,106-26-3,"(2Z)-3,7-dimethylocta-2,6-dienal",1,0.25,"(2Z)-3,7-dimethylocta-2,6-dienal",106-26-3,DTXSID7022413,Isoeugenol,97-54-1,0.8391608391608392,0.0011918743865398027,0.8735632183908045,1.1235632183908044
DTXSID5061532,1122-82-3,"Cyclohexane, isothiocyanato-",1,0.25,"Cyclohexane, isothiocyanato-",1122-82-3,DTXSID2021026,N-Nitrosodibutylamine,924-16-3,0.7972027972027973,0.003161252109393291,0.8390804597701149,1.089080459770115
DTXSID5061532,1122-82-3,"Cyclohexane, isothiocyanato-",1,0.25,"Cyclohexane, isothiocyanato-",1122-82-3,DTXSID3020964,Nitrobenzene,98-95-3,0.7972027972027973,0.003161252109393291,0.8390804597701149,1.089080459770115
DTXSID2044763,10287-53-3,Parbenate,1,0.25,Parbenate,10287-53-3,DTXSID7022413,Isoeugenol,97-54-1,0.7902097902097903,0.003616814382392932,0.8333333333333334,1.0833333333333335
DTXSID70188081,3454-07-7,4-Ethylstyrene,4,1,4-Ethylstyrene,3454-07-7,DTXSID7022413,Isoeugenol,97-54-1,-0.1258741258741259,0.6997122207317213,0.08045977011494254,1.0804597701149425
DTXSID5051521,103-71-9,Phenyl isocyanate,1,0.25,Phenyl isocyanate,103-71-9,DTXSID3020964,Nitrobenzene,98-95-3,0.7832167832167833,0.0041154500202930395,0.8275862068965517,1.0775862068965516
DTXSID10288796,6939-71-5,"(3ar,7as)-hexahydro-2-benzofuran-1(3h)-one",1,0.25,"(3ar,7as)-hexahydro-2-benzofuran-1(3h)-one",6939-71-5,DTXSID3020964,Nitrobenzene,98-95-3,0.7482517482517483,0.007353207261928149,0.7988505747126436,1.0488505747126435
DTXSID601018000,51557-64-3,"2(1H)?-?Naphthalenone, octahydro-?4a,?5-?dimethyl-?, (4a?,?5?,?8a?)?-",1,0.25,"2(1H)?-?Naphthalenone, octahydro-?4a,?5-?dimethyl-?, (4a?,?5?,?8a?)?-",51557-64-3,DTXSID7022413,Isoeugenol,97-54-1,0.7412587412587414,0.008170639815899201,0.7931034482758622,1.043103448275862
DTXSID70920529,824-90-8,(E)-1-Phenyl-1-butene,3,0.75,(E)-1-Phenyl-1-butene,824-90-8,DTXSID7022413,Isoeugenol,97-54-1,0.1048951048951049,0.7494790426721833,0.27011494252873564,1.0201149425287357
DTXSID7021491,100-47-0,Benzonitrile,0,0,Benzonitrile,100-47-0,DTXSID3020964,Nitrobenzene,98-95-3,0.9930069930069931,0,1,1
DTXSID5025572,93-58-3,Methyl benzoate,0,0,Methyl benzoate,93-58-3,DTXSID3020964,Nitrobenzene,98-95-3,0.9790209790209791,0,0.9885057471264368,0.9885057471264368
DTXSID40173484,19781-07-8,"2,7-Dimethyl-2,7-octanediol",0,0,"2,7-Dimethyl-2,7-octanediol",19781-07-8,DTXSID7022413,Isoeugenol,97-54-1,0.9720279720279722,0,0.9827586206896552,0.9827586206896552
DTXSID4043937,67-71-0,Dimethyl sulfone,0,0,Dimethyl sulfone,67-71-0,DTXSID3020964,Nitrobenzene,98-95-3,0.9650349650349651,0,0.9770114942528736,0.9770114942528736
DTXSID8020090,62-53-3,Aniline,2,0.5,Aniline,62-53-3,DTXSID7022413,Isoeugenol,97-54-1,0.3566433566433567,0.25601253730902407,0.4770114942528736,0.9770114942528736
DTXSID70274236,615-22-5,2-(Methylthio)benzothiazole,0,0,2-(Methylthio)benzothiazole,615-22-5,DTXSID7022413,Isoeugenol,97-54-1,0.9580419580419582,0,0.9712643678160922,0.9712643678160922
DTXSID20862809,1988-89-2,"Phenol, 4-(1-phenylethyl)-",0,0,"Phenol, 4-(1-phenylethyl)-",1988-89-2,DTXSID7022413,Isoeugenol,97-54-1,0.9510489510489512,0,0.9655172413793104,0.9655172413793104
DTXSID6074704,29812-79-1,O-Decylhydroxylamine,0,0,O-Decylhydroxylamine,29812-79-1,DTXSID7022413,Isoeugenol,97-54-1,0.9510489510489512,0,0.9655172413793104,0.9655172413793104
DTXSID90863348,4237-44-9,"Phenol, 2-(1-phenylethyl)-",0,0,"Phenol, 2-(1-phenylethyl)-",4237-44-9,DTXSID7022413,Isoeugenol,97-54-1,0.9440559440559443,0,0.959770114942529,0.959770114942529
DTXSID90865807,36151-02-7,"4-(3-Hydroxybutyl)-3,5,5-trimethylcyclohex-2-en-1-one",0,0,"4-(3-Hydroxybutyl)-3,5,5-trimethylcyclohex-2-en-1-one",36151-02-7,DTXSID7022413,Isoeugenol,97-54-1,0.9370629370629372,0,0.9540229885057472,0.9540229885057472
DTXSID60864903,19781-13-6,"4,7-Dimethyloctan-4-ol",0,0,"4,7-Dimethyloctan-4-ol",19781-13-6,DTXSID7022413,Isoeugenol,97-54-1,0.9300699300699302,0,0.9482758620689655,0.9482758620689655
DTXSID4025242,2404-44-6,"1,2-Epoxydecane",1,0.25,"1,2-Epoxydecane",2404-44-6,DTXSID7022413,Isoeugenol,97-54-1,0.6223776223776225,0.03480012285534383,0.6954022988505747,0.9454022988505747
DTXSID00861855,300-57-2,"benzene, 2-propenyl-",2,0.5,"benzene, 2-propenyl-",300-57-2,DTXSID2021026,N-Nitrosodibutylamine,924-16-3,0.31468531468531474,0.31947191256145246,0.4425287356321839,0.9425287356321839
DTXSID9052266,5986-55-0,"(1R,4S,4aS,6R,8aS)-4,8a,9,9-Tetramethyloctahydro-1,6-methanonaphthalen-1(2H)-ol",1,0.25,"(1R,4S,4aS,6R,8aS)-4,8a,9,9-Tetramethyloctahydro-1,6-methanonaphthalen-1(2H)-ol",5986-55-0,DTXSID7022413,Isoeugenol,97-54-1,0.6153846153846154,0.037334511366369796,0.689655172413793,0.939655172413793
DTXSID5052672,10482-56-1,(L)-alpha-Terpineol,0,0,(L)-alpha-Terpineol,10482-56-1,DTXSID7022413,Isoeugenol,97-54-1,0.9160839160839161,0,0.9367816091954023,0.9367816091954023
DTXSID5025318,1629-58-9,Ethyl vinyl ketone,2,0.5,Ethyl vinyl ketone,1629-58-9,DTXSID2021026,N-Nitrosodibutylamine,924-16-3,0.3076923076923077,0.3308626742508928,0.43678160919540227,0.9367816091954022
DTXSID00881250,6971-40-0,17-pentatriacontene,1,0.25,17-pentatriacontene,6971-40-0,DTXSID7022413,Isoeugenol,97-54-1,0.6083916083916084,0.04000204878864573,0.6839080459770116,0.9339080459770116
DTXSID6024886,287-92-3,Cyclopentane,1,0.25,Cyclopentane,287-92-3,DTXSID2021026,N-Nitrosodibutylamine,924-16-3,0.6083916083916084,0.04000204878864573,0.6839080459770116,0.9339080459770116
DTXSID5044360,106-21-8,"3,7-Dimethyloctan-1-ol",0,0,"3,7-Dimethyloctan-1-ol",106-21-8,DTXSID7022413,Isoeugenol,97-54-1,0.9090909090909093,0,0.9310344827586209,0.9310344827586209
DTXSID9044825,585-34-2,3-tert-Butylphenol,0,0,3-tert-Butylphenol,585-34-2,DTXSID7022413,Isoeugenol,97-54-1,0.9090909090909093,0,0.9310344827586209,0.9310344827586209
DTXSID3025671,78-94-4,Methyl vinyl ketone,2,0.5,Methyl vinyl ketone,78-94-4,DTXSID2021026,N-Nitrosodibutylamine,924-16-3,0.30069930069930073,0.34248337544019264,0.4310344827586208,0.9310344827586208
DTXSID60150030,1124-53-4,"Acetamide, N-cyclohexyl-",1,0.25,"Acetamide, N-cyclohexyl-",1124-53-4,DTXSID3020964,Nitrobenzene,98-95-3,0.6013986013986015,0.04280686898757623,0.6781609195402298,0.9281609195402298
DTXSID0062349,2363-89-5,2-Octenal,1,0.25,2-Octenal,2363-89-5,DTXSID2021026,N-Nitrosodibutylamine,924-16-3,0.5944055944055945,0.04575310008649374,0.6724137931034484,0.9224137931034484
DTXSID2074297,873-49-4,Cyclopropylbenzene,0,0,Cyclopropylbenzene,873-49-4,DTXSID2021026,N-Nitrosodibutylamine,924-16-3,0.8881118881118882,9.165861732816959e-5,0.9137931034482759,0.9137931034482759
DTXSID1033371,96-41-3,Cyclopentanol,1,0.25,Cyclopentanol,96-41-3,DTXSID3020964,Nitrobenzene,98-95-3,0.5804195804195805,0.05208624175002753,0.6609195402298852,0.9109195402298852
DTXSID4027367,1120-36-1,1-Tetradecene,2,0.5,1-Tetradecene,1120-36-1,DTXSID7022413,Isoeugenol,97-54-1,0.27272727272727276,0.39123274602615465,0.40804597701149425,0.9080459770114943
DTXSID00864629,15726-15-5,3-Methylheptan-4-one,0,0,3-Methylheptan-4-one,15726-15-5,DTXSID2021026,N-Nitrosodibutylamine,924-16-3,0.8741258741258742,3.088607930535857e-4,0.9022988505747126,0.9022988505747126
DTXSID9047045,475-20-7,Longifolene,2,0.5,Longifolene,475-20-7,DTXSID3020964,Nitrobenzene,98-95-3,0.2587412587412588,0.4169384265398784,0.3965517241379311,0.896551724137931
DTXSID60858746,3073-66-3,"1,1,3-Trimethylcyclohexane",1,0.25,"1,1,3-Trimethylcyclohexane",3073-66-3,DTXSID2021026,N-Nitrosodibutylamine,924-16-3,0.5594405594405595,0.06274871992683886,0.6436781609195403,0.8936781609195403
DTXSID4021927,111-13-7,2-Octanone,0,0,2-Octanone,111-13-7,DTXSID2021026,N-Nitrosodibutylamine,924-16-3,0.8601398601398602,5.970842605104725e-4,0.8908045977011494,0.8908045977011494
DTXSID6044436,517-23-7,3-Acetyldihydro-2(3H)-furanone,0,0,3-Acetyldihydro-2(3H)-furanone,517-23-7,DTXSID3020964,Nitrobenzene,98-95-3,0.8601398601398602,5.970842605104725e-4,0.8908045977011494,0.8908045977011494
DTXSID10864832,22104-78-5,2-?Octen-?1-?ol,1,0.25,2-?Octen-?1-?ol,22104-78-5,DTXSID7022413,Isoeugenol,97-54-1,0.5524475524475525,0.06662900144879341,0.6379310344827586,0.8879310344827586
DTXSID6025143,526-75-0,"2,3-Dimethylphenol",0,0,"2,3-Dimethylphenol",526-75-0,DTXSID7022413,Isoeugenol,97-54-1,0.8531468531468533,7.719020039505852e-4,0.8850574712643678,0.8850574712643678
DTXSID30871361,28823-41-8,"2-Methylhexa-2,4-diene",2,0.5,"2-Methylhexa-2,4-diene",28823-41-8,DTXSID2021026,N-Nitrosodibutylamine,924-16-3,0.24475524475524477,0.44350427562788497,0.3850574712643678,0.8850574712643677
DTXSID9047047,541-85-5,5-Methyl-3-heptanone,0,0,5-Methyl-3-heptanone,541-85-5,DTXSID2021026,N-Nitrosodibutylamine,924-16-3,0.8461538461538463,9.695401464449504e-4,0.8793103448275862,0.8793103448275862
DTXSID1044772,105-85-1,Citronellyl formate,1,0.25,Citronellyl formate,105-85-1,DTXSID7022413,Isoeugenol,97-54-1,0.5384615384615385,0.0749022866724823,0.6264367816091954,0.8764367816091954
DTXSID4062016,1838-59-1,"Formic acid, 2-propenyl ester",2,0.5,"Formic acid, 2-propenyl ester",1838-59-1,DTXSID2021026,N-Nitrosodibutylamine,924-16-3,0.2307692307692308,0.47090569352639616,0.3735632183908046,0.8735632183908046
DTXSID40227416,766-93-8,N-Cyclohexylformamide,1,0.25,N-Cyclohexylformamide,766-93-8,DTXSID3020964,Nitrobenzene,98-95-3,0.5244755244755246,0.08388458723291484,0.6149425287356322,0.8649425287356322
DTXSID90858739,1137-12-8,(+)-Longicyclene,2,0.5,(+)-Longicyclene,1137-12-8,DTXSID2021026,N-Nitrosodibutylamine,924-16-3,0.2097902097902098,0.5135125134125788,0.3563218390804598,0.8563218390804598
DTXSID9024437,591-87-7,Allyl acetate,2,0.5,Allyl acetate,591-87-7,DTXSID2021026,N-Nitrosodibutylamine,924-16-3,0.2027972027972028,0.5281002367834549,0.3505747126436782,0.8505747126436782
DTXSID2022125,821-55-6,2-Nonanone,0,0,2-Nonanone,821-55-6,DTXSID2021026,N-Nitrosodibutylamine,924-16-3,0.8111888111888113,0.002368930397823616,0.8505747126436781,0.8505747126436781
DTXSID9044827,623-84-7,Propylene glycol diacetate,0,0,Propylene glycol diacetate,623-84-7,DTXSID3020964,Nitrobenzene,98-95-3,0.8111888111888113,0.002368930397823616,0.8505747126436781,0.8505747126436781
DTXSID3027247,617-94-7,2-Phenylpropan-2-ol,0,0,2-Phenylpropan-2-ol,617-94-7,DTXSID7022413,Isoeugenol,97-54-1,0.8041958041958044,0.0027461353047330307,0.8448275862068966,0.8448275862068966
DTXSID5044154,1656-48-0,"3,3'-Oxydipropionitrile",0,0,"3,3'-Oxydipropionitrile",1656-48-0,DTXSID3020964,Nitrobenzene,98-95-3,0.8041958041958044,0.0027461353047330307,0.8448275862068966,0.8448275862068966
DTXSID7037715,24650-42-8,"2,2-Dimethoxy-1,2-diphenylethanone",0,0,"2,2-Dimethoxy-1,2-diphenylethanone",24650-42-8,DTXSID7022413,Isoeugenol,97-54-1,0.7902097902097903,0.003616814382392932,0.8333333333333334,0.8333333333333334
DTXSID8026432,75-98-9,"2,2-Dimethylpropanoic acid",0,0,"2,2-Dimethylpropanoic acid",75-98-9,DTXSID3020964,Nitrobenzene,98-95-3,0.7902097902097903,0.003616814382392932,0.8333333333333334,0.8333333333333334
DTXSID0048210,93-99-2,Phenyl benzoate,0,0,Phenyl benzoate,93-99-2,DTXSID7022413,Isoeugenol,97-54-1,0.7832167832167833,0.0041154500202930395,0.8275862068965517,0.8275862068965517
DTXSID20325247,6158-54-9,Methyl 4-benzoylbenzoate,0,0,Methyl 4-benzoylbenzoate,6158-54-9,DTXSID7022413,Isoeugenol,97-54-1,0.7762237762237764,0.0046598806161295995,0.8218390804597703,0.8218390804597703
DTXSID2060258,542-85-8,"Ethane, isothiocyanato-",0,0,"Ethane, isothiocyanato-",542-85-8,DTXSID2021026,N-Nitrosodibutylamine,924-16-3,0.7762237762237764,0.0046598806161295995,0.8218390804597703,0.8218390804597703
