DTXSID,ss_cas,ss_chemname,total_enrich_feat,SS_score,uc_chemname,uc_cas,bc_DTXSID,bc_chemname,bc_cas,sr_cor,sr_pval,PS_score,prioritization_score
DTXSID6023280,50-11-3,Metharbital,0,0,Metharbital,50-11-3,DTXSID3020964,Nitrobenzene,98-95-3,0.6013986013986015,0.04280686898757623,0.6781609195402298,0.6781609195402298
DTXSID0026913,112-40-3,Dodecane,0,0,Dodecane,112-40-3,DTXSID7022413,Isoeugenol,97-54-1,0.5944055944055945,0.04575310008649374,0.6724137931034484,0.6724137931034484
DTXSID2062454,2478-38-8,Acetosyringone,0,0,Acetosyringone,2478-38-8,DTXSID3020964,Nitrobenzene,98-95-3,0.5944055944055945,0.04575310008649374,0.6724137931034484,0.6724137931034484
DTXSID30180228,2553-17-5,9-Oxononanoic acid,0,0,9-Oxononanoic acid,2553-17-5,DTXSID3020964,Nitrobenzene,98-95-3,0.5944055944055945,0.04575310008649374,0.6724137931034484,0.6724137931034484
DTXSID3020463,617-84-5,Diethylformamide,0,0,Diethylformamide,617-84-5,DTXSID3020964,Nitrobenzene,98-95-3,0.5944055944055945,0.04575310008649374,0.6724137931034484,0.6724137931034484
DTXSID60334838,62625-25-6,1-Butoxy-2-ethylhexane,0,0,1-Butoxy-2-ethylhexane,62625-25-6,DTXSID7022413,Isoeugenol,97-54-1,0.5944055944055945,0.04575310008649374,0.6724137931034484,0.6724137931034484
DTXSID6061076,758-16-7,"Methanethioamide, N,N-dimethyl-",0,0,"Methanethioamide, N,N-dimethyl-",758-16-7,DTXSID2021026,N-Nitrosodibutylamine,924-16-3,0.5944055944055945,0.04575310008649374,0.6724137931034484,0.6724137931034484
DTXSID9021639,124-19-6,Nonanal,0,0,Nonanal,124-19-6,DTXSID2021026,N-Nitrosodibutylamine,924-16-3,0.5944055944055945,0.04575310008649374,0.6724137931034484,0.6724137931034484
DTXSID3029154,120-92-3,Cyclopentanone,1,0.25,Cyclopentanone,120-92-3,DTXSID3020964,Nitrobenzene,98-95-3,0.2867132867132867,0.36640845611198763,0.41954022988505746,0.6695402298850575
DTXSID20337845,57872-31-8,1-Ethylcyclopropanol,0,0,1-Ethylcyclopropanol,57872-31-8,DTXSID2021026,N-Nitrosodibutylamine,924-16-3,0.5874125874125875,0.04884485830929574,0.6666666666666666,0.6666666666666666
DTXSID40337923,21078-65-9,2-Ethyl-1-decanol,0,0,2-Ethyl-1-decanol,21078-65-9,DTXSID7022413,Isoeugenol,97-54-1,0.5874125874125875,0.04884485830929574,0.6666666666666666,0.6666666666666666
DTXSID7047063,629-97-0,Docosane,0,0,Docosane,629-97-0,DTXSID7022413,Isoeugenol,97-54-1,0.5874125874125875,0.04884485830929574,0.6666666666666666,0.6666666666666666
DTXSID0044818,2/8/3913,2-Butyloctan-1-ol,0,0,2-Butyloctan-1-ol,2/8/3913,DTXSID7022413,Isoeugenol,97-54-1,0.5804195804195805,0.05208624175002753,0.6609195402298852,0.6609195402298852
DTXSID9047097,629-94-7,Heneicosane,0,0,Heneicosane,629-94-7,DTXSID7022413,Isoeugenol,97-54-1,0.5804195804195805,0.05208624175002753,0.6609195402298852,0.6609195402298852
DTXSID8029234,2436-90-0,Dihydromyrcene,2,0.5,Dihydromyrcene,2436-90-0,DTXSID2021026,N-Nitrosodibutylamine,924-16-3,-0.027972027972027975,0.9386633634935004,0.16091954022988508,0.6609195402298851
